what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1355003221914
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1355003221919
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1355003221919
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1355003221920
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1355003221921
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1355003221922
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1355003221922
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1355003221924
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1355003221934
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1355003221935
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1355003221936
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355003221946
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1355003221946
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355003221947
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1355003221949
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1355003221959
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1355003221959
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1355003221960
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1355003221960
os,sysinfo,,,"linux",1355003221981
arch,sysinfo,,,"x86",1355003221981
ws,sysinfo,,,"gtk",1355003221981
locale,sysinfo,,,"es_AR",1355003221981
processors,sysinfo,,,"1",1355003221981
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1355003221981
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1355003221981
java.specification.name,sysinfo,,,"Java Platform API Specification",1355003221981
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355003221981
java.specification.version,sysinfo,,,"1.6",1355003221981
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1355003221981
java.version,sysinfo,,,"1.6.0_23",1355003221981
java.vm.info,sysinfo,,,"mixed mode, sharing",1355003221981
java.vm.name,sysinfo,,,"OpenJDK Client VM",1355003221981
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355003221981
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355003221981
java.vm.specification.version,sysinfo,,,"1.0",1355003221981
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1355003221981
java.vm.version,sysinfo,,,"20.0-b11",1355003221981
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1355003221997
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1355003222132
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1355003225759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003228771
started,bundle,org.eclipse.linuxtools.tmf.core,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.core",1355003230576
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1355003230596
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1355003231181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1355003231188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003231290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003234524
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1355003236564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1355003236568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003236688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003238628
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1355003239574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1355003239577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003239699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003242757
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1355003258429
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1355003258488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1355003259465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1355003259473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355003259614
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1355003262980
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1355003263071
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1355003265453
